Fecha,Arma
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,NO REPORTADO
20180101,PALANCAS
20180101,LLAVE MAESTRA
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,PALANCAS
20180101,ARMA DE FUEGO
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,NO REPORTADO
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,CONTUNDENTES
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,PALANCAS
20180101,LLAVE MAESTRA
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,LLAVE MAESTRA
20180101,LLAVE MAESTRA
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,LLAVE MAESTRA
20180101,SIN EMPLEO DE ARMAS
20180101,LLAVE MAESTRA
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,NO REPORTADO
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,LLAVE MAESTRA
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,ESCOPOLAMINA
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,CONTUNDENTES
20180101,CONTUNDENTES
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,PALANCAS
20180101,PALANCAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,SIN EMPLEO DE ARMAS
20180101,LLAVE MAESTRA
20180101,ESCOPOLAMINA
20180101,CONTUNDENTES
20180101,SIN EMPLEO DE ARMAS
20180101,CONTUNDENTES
20180101,LLAVE MAESTRA
20180101,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,PALANCAS
20180102,PALANCAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,PALANCAS
20180102,CONTUNDENTES
20180102,PALANCAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,LLAVE MAESTRA
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,ARMA DE FUEGO
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,ARMA DE FUEGO
20180102,PALANCAS
20180102,ARMA DE FUEGO
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,ARMA DE FUEGO
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,ARMA DE FUEGO
20180102,PALANCAS
20180102,CONTUNDENTES
20180102,PALANCAS
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,PALANCAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,LLAVE MAESTRA
20180102,SIN EMPLEO DE ARMAS
20180102,LLAVE MAESTRA
20180102,LLAVE MAESTRA
20180102,CONTUNDENTES
20180102,LLAVE MAESTRA
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,LLAVE MAESTRA
20180102,CONTUNDENTES
20180102,PALANCAS
20180102,CONTUNDENTES
20180102,PALANCAS
20180102,PALANCAS
20180102,SIN EMPLEO DE ARMAS
20180102,NO REPORTADO
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,LLAVE MAESTRA
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,LLAVE MAESTRA
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,CONTUNDENTES
20180102,ARMA DE FUEGO
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,PALANCAS
20180102,PALANCAS
20180102,PALANCAS
20180102,PALANCAS
20180102,LLAVE MAESTRA
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,PALANCAS
20180102,PALANCAS
20180102,NO REPORTADO
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,PALANCAS
20180102,PALANCAS
20180102,NO REPORTADO
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,LLAVE MAESTRA
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,SIN EMPLEO DE ARMAS
20180102,ARMA DE FUEGO
20180102,SIN EMPLEO DE ARMAS
20180102,CONTUNDENTES
20180102,CONTUNDENTES
20180102,LLAVE MAESTRA
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,NO REPORTADO
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,ARMA DE FUEGO
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,LLAVE MAESTRA
20180103,LLAVE MAESTRA
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,ARMA DE FUEGO
20180103,LLAVE MAESTRA
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,NO REPORTADO
20180103,NO REPORTADO
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,NO REPORTADO
20180103,ARMA DE FUEGO
20180103,LLAVE MAESTRA
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,LLAVE MAESTRA
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,LLAVE MAESTRA
20180103,SIN EMPLEO DE ARMAS
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,LLAVE MAESTRA
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,LLAVE MAESTRA
20180103,SIN EMPLEO DE ARMAS
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,ARMA DE FUEGO
20180103,ARMA DE FUEGO
20180103,ARMA DE FUEGO
20180103,CONTUNDENTES
20180103,CONTUNDENTES
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,LLAVE MAESTRA
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,SIN EMPLEO DE ARMAS
20180103,CONTUNDENTES
20180103,CONTUNDENTES
20180103,SIN EMPLEO DE ARMAS
20180103,PALANCAS
20180103,CONTUNDENTES
20180103,PALANCAS
20180103,SIN EMPLEO DE ARMAS
20180103,LLAVE MAESTRA
